STATE_COUNTY_CODE,79_SAMPLEDLANDWATER_ACRES,SE_x,SE_PERCENT_x,PLOT_COUNT_x,2_FORESTLAND_ACRES,SE_y,SE_PERCENT_y,PLOT_COUNT_y,20_NETSAWLOGVOLSAWTMBR_BRDFT,SE_x,SE_PERCENT_x,PLOT_COUNT_x,14_NETMERCHBOLELIVETREES_CBFT,SE_y,SE_PERCENT_y,PLOT_COUNT_y,203_AVGNETGROWTHSAWTMBR_BRDFT,SE_x,SE_PERCENT_x,PLOT_COUNT_x,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,SE_y,SE_PERCENT_y,PLOT_COUNT_y,227_AVGREMOVALSAWTMBR_BRDFT,SE_x,SE_PERCENT_x,PLOT_COUNT_x,98_CARBONLIVEABOVEGRND_MT,SE_y,SE_PERCENT_y,PLOT_COUNT_y
`0012 01023 AL Choctaw,590391.1659152668,55575.1114828666,9.4132694883,97,532131.7818941307,51797.5313514038,9.7339668695,95,3239512241.237553,508974402.1688438,15.7114517331,77,1024872722.4990493,130301064.6769129,12.7138777154,85,202778661.2576264,29060488.293569174,14.3311372673,90,230678650.35992736,29216624.232480507,12.6655085709,90,179023648.71868795,47650949.83221199,26.6171258229,30,11719050.985447772,1384137.3008906068,11.8110016128,95
`0013 01025 AL Clarke,825147.0267965414,63628.0793631803,7.7111202364,136,738678.5235372616,59436.1470742775,8.0462806458,129,4204611538.150033,491539892.32918566,11.6904947786,103,1407043068.4758945,138796164.87604836,9.8643863849,119,287865479.315169,35305203.0087081,12.2644796079,119,315006348.5742462,36022094.080388874,11.4353549519,119,193880465.06870052,48522020.843109496,25.0267714315,38,16257736.366129827,1523675.6143153782,9.3720034573,129
`0014 01027 AL Clay,369940.3716721117,45234.5415555818,12.2275223305,63,302292.7837042861,40008.5150579833,13.2350215469,55,1664102179.1567252,321834739.1970325,19.3398424224,44,616568951.8248398,96949661.29359518,15.7240582755,53,87054386.3529846,19208197.041840747,22.0645941538,49,106108720.29819015,20897097.98849474,19.6940439294,49,58289496.297490455,30338139.21744093,52.0473518292,11,7511193.956226956,1121958.6699139364,14.9371548179,55
`0015 01029 AL Cleburne,338547.4539808267,43317.062193997,12.7949750278,58,257414.3831243359,36946.9581927581,14.3531055819,48,2137047979.5662096,419321644.139253,19.621536257,41,616597170.6109643,104377493.36788599,16.9279877273,46,90240127.02876315,17386083.18106181,19.2664657659,45,103439514.43788292,19829546.888035353,19.170185587,45,32949180.757097706,14235336.86474302,43.2039174803,9,7112728.5314145945,1149287.4704777156,16.1581798799,48
`0016 01031 AL Coffee,428529.1894689137,49443.7077279376,11.5380022979,72,241102.905323401,36323.5642964498,15.0655854801,45,1077532568.5321019,233026369.02620885,21.6259235063,36,428057936.834806,74260621.26720601,17.3482640729,45,92861687.01850739,18726146.043489646,20.1656319681,40,97435953.8280769,19426957.786908045,19.9381819787,40,43132754.3180241,22325287.684297338,51.7594761505,9,5276811.337520352,877224.8297143547,16.6241461672,45
`0017 01033 AL Colbert,421602.5002465221,47853.9250319685,11.3504841655,70,227482.5263137778,34456.9693083825,15.1470839834,41,1562382402.3471475,353446485.3995664,22.6222776747,38,526367954.5558268,95697023.97245435,18.1806326058,39,78537654.04048026,17653196.373891126,22.4773665442,39,91082180.2930195,18529318.057976656,20.3435161503,39,28361080.95645494,15231058.39331792,53.704082777,6,6447961.447985949,1117925.5787615431,17.3376591622,41
`0018 01035 AL Conecuh,535276.5319519406,53193.0741405804,9.9374941671,88,448894.3392962627,47970.7394514636,10.6864211134,81,2382120220.812422,416455560.91548693,17.4825584904,66,808567927.9431682,111825614.67010325,13.8300828917,76,207120301.130871,34467472.89894942,16.6412817627,72,212524471.16801792,35055614.222066954,16.4948601116,72,91240633.5398753,28473710.757212374,31.207269889,24,9368855.350678656,1195730.6568744117,12.7628254693,81
`0019 01037 AL Coosa,444319.7065440009,49620.2254485831,11.1676850515,74,375565.5399314432,44848.329349654,11.9415453712,68,1842986013.3352456,324579961.7438676,17.6116345645,58,654943485.1979369,92915564.32782936,14.1868064082,65,128706319.96706957,23342928.15593564,18.1365826961,63,148589546.22827953,23243945.542291835,15.6430557413,63,83845663.03335886,37342951.68145292,44.53772602,17,7852122.821539446,1060763.4497912347,13.5092569729,68
`0020 01039 AL Covington,648567.9659981946,57004.9899923774,8.789362562,111,489156.5910172732,48457.3725711602,9.9063108749,93,2686634520.55626,389241235.04697174,14.488060511,73,897830413.0533967,110790421.80248258,12.3397938176,88,157197077.92394042,24738328.677070584,15.7371428297,81,172200064.0315765,25472184.164695904,14.7922036545,81,74247161.58485425,21043976.526351966,28.343139424,22,10325321.84591261,1204715.6856762103,11.6675848332,93
`0021 01041 AL Crenshaw,390979.9384238416,47329.6910438691,12.1054014266,65,316087.5660094343,41646.4594284788,13.1756082513,57,1569607820.4266639,291357202.89407974,18.5624204405,45,613869485.5202482,98222330.60435823,16.0005233883,51,123405240.50073057,24723709.603282843,20.0345702524,52,140099020.86152264,25205704.071870483,17.9913492021,52,98576248.92463586,30194342.486573253,30.630443759,19,7028240.26348377,1069420.9206300387,15.2160552363,57
`0022 01043 AL Cullman,490232.2719225627,51913.9296594535,10.5896597659,82,231610.2572900095,34315.7547961959,14.8161636698,51,1395352447.0001063,279252581.0312518,20.0130498665,40,475799245.38969237,82863384.58165963,17.4156191681,48,68826297.3741312,17208330.393357404,25.0025514228,45,88928572.3019656,16283986.573254013,18.311310023,45,29814100.57942133,12535588.74115201,42.045839041,10,5589825.6043490805,939320.3207118834,16.8041078058,51
`0023 01045 AL Dale,359317.2583774652,45529.1836613627,12.6710261196,60,264852.8989621893,37997.4793220838,14.3466352345,49,1404711720.1022344,310768885.8494329,22.1233212055,38,570402723.2274437,104586893.29504696,18.335623067,46,68974859.77677754,16072750.554535141,23.3023316126,41,73514727.67878938,16186131.25229277,22.0175354835,41,20861046.074900337,8544210.318323573,40.9577270845,11,6548414.970838335,1137605.9301850446,17.3722333611,49
`0024 01047 AL Dallas,656257.9639953151,60489.8369198705,9.2173871006,110,438380.9259892682,48382.5162849383,11.0366380964,83,1981167663.9864955,327689790.07964236,16.5402351369,65,783091493.2099926,102295651.26878189,13.0630522941,80,142644590.36909196,22599705.148025483,15.8433664323,70,153066693.8811544,23389537.190528102,15.28061827,70,52401862.48595499,16265308.680385802,31.039562162,16,9443845.820364168,1176513.5879601832,12.45799233,83
`0025 01049 AL DeKalb,483819.288625842,50980.1432249537,10.5370216574,81,184402.1710331442,30098.5077043079,16.3222089717,41,1289577037.916116,289298683.70539933,22.4336100287,35,381340491.58328116,74904287.96377616,19.6423641384,39,52488821.29120892,16501662.817844257,31.4384328166,39,69378790.46206577,16597216.077856034,23.9226080007,39,21729060.58948161,9434899.748229096,43.4206518472,7,4758616.76723828,899513.558403644,18.902836736,41
`0026 01051 AL Elmore,404554.2360234762,48048.7453745219,11.8769601443,68,237653.5019651726,35925.3513085768,15.1166934261,44,1565763664.939364,330395577.19323003,21.1012418152,42,512885496.0218303,92263065.69282831,17.9890182913,44,95097018.65554762,20788436.833102725,21.8602403388,45,107751314.71677844,22069010.234085526,20.4814301265,45,30974883.964230068,13054298.080945104,42.1447844519,12,6001641.853971416,1011095.0459706023,16.8469740543,44
`0027 01053 AL Escambia,630347.6943257776,56819.7300045584,9.0140299578,107,476044.7229856334,48523.577698696,10.1930712296,89,1933614709.612441,330647814.67120224,17.0999844502,70,740857165.4944627,97417772.67436765,13.1493325855,85,133287680.53876466,25493152.335897237,19.1264130585,74,148942042.76419827,24162453.23830834,16.2227217983,74,52381122.27767201,24373867.36342967,46.5317776779,13,9027174.654359149,1104821.4644670254,12.2388400221,89
`0028 01055 AL Etowah,347425.928037821,44390.222195146,12.7768881401,58,185369.2430747819,31276.313727244,16.8724396823,38,1076517689.554098,270069434.6038996,25.0873197184,26,345794766.19746196,72789287.36762549,21.0498522485,34,53125959.27689229,14121146.731419731,26.5805021192,32,63150710.57100774,13843102.350797713,21.9207388573,32,45156744.23280277,20101771.89268735,44.5155474209,10,4150822.8513743365,831427.7290101794,20.030431526,38
`0029 01057 AL Fayette,415805.2714140905,47878.3539649646,11.5146096638,68,342202.5902064838,42829.7671465256,12.5159096898,59,1926595232.2951913,452140403.5184841,23.468365121,50,715532496.5616937,115987783.52055882,16.2099952242,57,150849960.20656157,28292974.103224397,18.7557053807,54,156867328.15751517,29773249.934204254,18.9798922975,54,49420716.16320102,21583517.306901637,43.67301606,13,8115452.232908158,1213492.9378290076,14.9528689591,59
`0030 01059 AL Franklin,416615.4945393996,47182.1045198311,11.325095955,70,293889.2136070162,38071.4188972196,12.9543437236,57,1442356106.6183722,263464951.08122754,18.2662901257,44,554766818.8243538,89370742.52878508,16.109604882,52,107346330.54976891,21438313.015383977,19.9711652048,52,120117517.36818661,21206880.09127525,17.6551102253,52,68669623.37022485,25611409.361584466,37.2965630283,15,6828972.671188294,1036671.5144873199,15.1804900152,57
`0031 01061 AL Geneva,356893.8821631735,45312.8423831665,12.6964469406,60,197129.0348359966,32300.5862964895,16.3855042071,42,1436808132.4294057,366042489.97620684,25.4760870094,31,478096577.66260886,101107553.37005982,21.1479349767,40,66223290.29414162,15553312.514900664,23.4861669449,35,77344507.66439046,16743546.772095688,21.6480100239,35,23618028.587809533,10964056.041667651,46.4224014333,7,5246297.670705445,1051198.6357734718,20.0369613345,42
`0032 01063 AL Greene,420751.1257532501,48025.034767429,11.4141191379,70,347068.8069171176,42896.3786894194,12.3596179877,63,2220286047.300911,416168365.121408,18.7439075982,49,703570641.4759762,109256128.7003395,15.5288072383,61,120534431.03403775,22672176.17855578,18.8097093785,52,135625153.347501,23563210.0434839,17.3737757797,52,70263038.14367084,27486336.792144854,39.1191976868,12,8349334.620023726,1240035.784525562,14.8519114511,63
`0033 01065 AL Hale,420530.1156455441,48104.3498445662,11.4389785784,71,287518.0611605337,39005.8245647728,13.5663910668,54,1782236503.8097727,351255562.3194428,19.7086953145,43,562783426.8598723,94006722.60219431,16.703889652,51,101660112.80073243,19680454.983060926,19.3590725417,47,120051918.71868148,22264549.265061922,18.545767117,47,57917147.55675996,22999370.753550142,39.7108140228,11,6602897.60373546,1042298.6684317007,15.7854737569,54
`0034 01067 AL Henry,393439.5447087537,47540.5561667141,12.0833192306,66,267090.6868141572,38452.6042452126,14.3968345373,49,885887825.3762088,177345551.47950408,20.0189624916,36,411216854.8281961,68775939.88422652,16.7249807679,45,78547413.76811564,16043866.71004888,20.4257096961,40,88460686.11389542,17024988.143524736,19.245824209,40,49560866.186587006,21850419.41705888,44.0880499037,15,4931307.800750164,790384.0542865961,16.0278791392,49
`0035 01069 AL Houston,374612.4471373006,46326.1269697808,12.3664142299,63,173641.9424937418,30127.5637640715,17.3503954928,36,795689490.3740561,195193621.8083663,24.5313811694,27,316766842.83335805,66363690.81085557,20.950327445,32,42448370.81245809,14040534.842589853,33.0767343336,30,55000657.289090015,13977894.550900914,25.414050013,30,16114527.50918792,10380380.235555904,64.4162866683,6,3782731.560271128,757938.9980335438,20.0368169392,36
`0036 01071 AL Jackson,725159.0135685789,60276.5549772417,8.3121844795,121,450391.4918651741,45820.0650436101,10.1733860144,86,3508446959.1304545,487725810.78236824,13.9014731151,77,1108213502.0416627,131330239.9320053,11.8506262277,85,99256675.40363513,16383765.261693345,16.5064618526,77,117846691.64752227,16923598.14774652,14.3606900721,77,24804653.567341816,13419587.996677082,54.1010901855,7,13929933.629357774,1588768.8491099828,11.4054301433,86
`0037 01073 AL Jefferson,707810.6876355964,61564.257943071,8.6978423777,118,381341.6453230268,43451.3596593825,11.3943389589,78,3179295425.4446707,508214847.4828109,15.9851407144,72,901977468.0812664,121945786.8071643,13.5198262842,75,161254055.6550354,25114700.12296084,15.5746161056,75,180382973.57107836,25508109.81169017,14.1410851073,75,54294299.89557774,21231218.73826695,39.103955257,13,10228973.465280361,1324876.6861331393,12.9521959425,78
`0038 01075 AL Lamar,404641.154999273,47195.2597983766,11.6634848471,66,338741.4336702911,42112.9474552304,12.4321807932,61,1779945564.5200007,345632239.8117606,19.4181354026,48,636848837.2449815,107346927.72353578,16.8559509644,57,150965851.95051405,24870583.97260855,16.4743110122,55,155022393.487156,25238763.98809273,16.280721398,55,104665108.04888,32257728.104131613,30.8199443974,19,7670787.919433806,1188669.4597332405,15.4960542804,61
`0039 01077 AL Lauderdale,455242.3458914067,49688.6342458249,10.9147654418,76,185245.5569891903,30212.8672551067,16.3096312517,40,1056905441.6096916,244362882.02949703,23.1206002362,35,367213589.4488444,67552047.17652266,18.3958462098,39,25399259.01708606,9710596.48926396,38.2318101592,36,49742089.74568037,9448203.236534093,18.9943833981,36,7523938.818393123,3610897.236316037,47.9921132199,5,4566719.767105513,830726.7558761915,18.1908853234,40
`0040 01079 AL Lawrence,425726.4396295629,47924.9555474994,11.2572185061,73,225177.7112728369,34022.4544234987,15.1091572213,43,1655701230.8564544,311652899.5787299,18.8230155158,41,518095065.806726,86588586.08202076,16.7128760331,43,45968927.92444785,14884433.215088952,32.3793351012,41,77777100.64190671,14574781.300405895,18.7391676729,41,11182635.484531492,7379815.978182994,65.9935306699,4,6273769.300901054,1021182.3451261522,16.2770146008,43
`0041 01081 AL Lee,401022.9472126504,47989.2466818884,11.966708393,67,245030.7795619283,36384.4298679134,14.8489222182,47,1388530348.7932446,307616312.509916,22.1540935549,37,478685108.0413727,86008596.48469736,17.9676775065,44,89801852.97947311,21952551.764641628,24.4455443137,44,104015296.55220875,21945825.954760313,21.0986524888,44,78256715.91837849,20259615.82952678,25.8886609178,21,5417142.205355006,915397.7628985046,16.8981674875,47
`0042 01083 AL Limestone,376713.4019892216,45370.8633217083,12.043867588,63,98636.4651543373,22647.4057421976,22.9604798862,22,928480819.6925604,306766421.9853918,33.0396078712,19,259102460.11928642,70233283.05389373,27.1063744519,21,33890362.09263423,10583914.268296728,31.2298648193,20,38915476.690612085,11451948.01923569,29.4277469868,20,8449168.430815218,6203184.700735181,73.4176949072,2,3030955.984908064,805787.5921929255,26.5852620825,22
`0043 01085 AL Lowndes,480066.5154483464,52252.3802514009,10.8844042586,80,315752.1892233985,41604.2724333097,13.176241956,57,1736757603.3553624,308543186.5409179,17.7654720466,45,648752413.5579752,102257493.04282331,15.7621753547,51,149825542.81877524,26829830.270557944,17.9073806547,55,164189614.4180901,28650592.24352764,17.4496982316,55,60632563.65513119,20065844.854699664,33.0941719186,16,7542111.9743128605,1143479.3695564216,15.1612621697,57
`0044 01087 AL Macon,399759.0960209813,47788.295319013,11.9542734098,67,324280.1376999205,42276.5055342691,13.0370320656,58,1756551270.989117,328919138.2965586,18.7252796846,45,631727958.005987,100298090.963788,15.8767852036,56,95769593.74030364,18711548.340455234,19.5380888753,52,114189759.84559557,19833643.572869763,17.3690211799,52,50509625.83150822,19106011.125186246,37.8264752721,14,7343668.769277025,1118931.5563105668,15.2366833454,58
`0045 01089 AL Madison,541847.500515929,53300.2033380961,9.8367535676,91,207901.7112728563,32349.75612369,15.5601201768,42,2309960969.8889647,482837576.9185371,20.9024127772,41,649233597.2152016,114256739.36914618,17.5987102114,42,71994531.58143479,15912298.215681324,22.1020928481,40,83178135.16794278,17362090.71226427,20.8733829837,40,3213185.798079742,2300207.5548910117,71.586509447,2,7284209.399603828,1250592.3188445275,17.1685388247,42
`0046 01091 AL Marengo,642218.5465669312,57048.1616525882,8.8829825855,108,479757.7466847196,49202.2663553082,10.2556481256,87,3241023799.256887,526336933.0177665,16.2398354847,71,969908774.1038791,125419734.87751758,12.9310857089,81,198164331.68061998,29219448.549252786,14.7450594673,81,222110436.16593653,30891831.456113696,13.9083205586,81,115023847.85468282,37103391.41417152,32.2571293746,26,11170613.64085437,1355489.4591579956,12.134422537,87
`0047 01093 AL Marion,474219.6015555218,50707.0889397573,10.6927441998,78,365050.900519028,43928.0003836682,12.0333905001,65,2205891239.439434,390908767.00343055,17.7211260471,55,730660470.6001478,110313201.43867457,15.097737715,61,191071811.548288,31668597.45932746,16.5741860103,65,200427890.5958646,32833968.211021516,16.3819357243,65,69781015.65536807,23517542.56307017,33.7019207046,18,8428655.770981522,1193628.812729278,14.1615560673,65
`0048 01095 AL Marshall,387743.6710539554,46134.7703060526,11.8982652072,65,157983.0779600305,28549.4366761724,18.071199172,33,1013395935.9404873,247783008.86296102,24.4507600707,25,301106001.0378194,64783018.79928175,21.5150208153,32,8786577.090103205,22910040.23732487,260.7390796483,27,45363580.24694652,12134385.761202645,26.7491800584,27,19547005.5905158,10028765.77677745,51.3058930195,5,3726151.2513951096,782285.2142238645,20.9944567852,33
`0049 01097 AL Mobile,1044453.1511130857,67649.8729694376,6.4770615032,176,496922.1160970919,48733.6889293521,9.807108066,93,2320360590.713002,391223692.44313365,16.8604696188,66,793378518.2955575,114317820.30801025,14.4089886065,86,104364368.67294493,17953288.583406,17.2025077253,72,119225676.12690848,18911470.152284954,15.861910594,72,47898393.577136815,15856077.306432186,33.103568037,16,9490437.502512679,1227203.6288685508,12.930948953,93
`0050 01099 AL Monroe,657572.2309620491,58373.7788077808,8.8771660449,109,572111.3296367975,53715.5477416177,9.3890026222,101,3250375479.612237,493206650.0214847,15.1738361649,84,1076974753.1455615,129701368.90400377,12.0431206512,93,198271010.2886091,29340583.387296524,14.7982215577,92,235481880.0965527,31004682.40799349,13.166483296,92,122465172.72668561,40176280.97363798,32.8062910288,25,12576656.331283007,1420830.6237521106,11.2973638328,101
`0051 01101 AL Montgomery,508406.6870356011,53618.655475852,10.5464103528,85,263091.4297334445,38011.9229805177,14.4481798662,49,1499707802.2431722,314654620.46448195,20.9810617771,37,545230806.7688841,93716518.99044892,17.1884122883,49,74026277.88997148,16755841.647625376,22.6349914182,38,88166569.3528506,16917058.111179754,19.1876107184,38,32366799.362538673,13730733.885115888,42.4222788646,7,6421347.1022903,1071039.3676591467,16.6793563811,49
`0052 01103 AL Morgan,394414.5166227558,46544.8099039832,11.8009880322,66,192699.7056596283,31073.6896993711,16.1254474121,40,1774773648.3091655,376488762.411018,21.2133396712,35,485406422.0749157,90374493.36435542,18.6183143144,40,57890421.61898047,14306099.182897042,24.7123769059,36,83596931.6217929,16532701.87076742,19.776685041,36,24872662.793160982,20549011.05525862,82.6168521889,2,5778653.891943169,1027868.0709334114,17.7873271207,40
`0053 01105 AL Perry,443925.0573238629,49225.5869094721,11.0887155607,75,345454.2371125763,42831.2953790251,12.3985439394,62,2075612871.2722344,386953838.6723269,18.6428714154,49,670624710.4727925,104071647.97964044,15.5186121767,59,136945581.72484952,26299359.08341062,19.2042406569,53,156418158.16391638,28372327.163451254,18.1387682201,53,56698462.08165774,21656318.640518963,38.1956015127,14,7706090.167248269,1134151.5402394058,14.7176001789,62
`0054 01107 AL Pickens,571994.1796727044,55057.100459603,9.6254651562,94,476442.1141825211,49941.9380460627,10.4822677424,80,2781530742.6268873,437240178.25585693,15.7194084378,67,951063161.1038735,122739298.37574662,12.9054833996,76,185086857.442302,29791596.28685985,16.0960084895,74,211194390.636686,29460937.558408618,13.9496780523,74,86242713.26902202,29592979.741294395,34.3136000939,17,11188795.463731067,1368680.4221886296,12.2325984654,80
`0055 01109 AL Pike,426040.4172027672,49391.6683017038,11.5931884177,71,308265.7800436664,40786.7918330115,13.231047516,58,1925567381.605028,401881518.4257458,20.8708104564,47,660107581.9803076,104811833.68754736,15.8779927013,57,128703502.92206359,24975485.52699068,19.4054434883,50,141881968.06771603,26504203.65502808,18.680459551,50,44047642.988612965,16960256.176408853,38.5043444454,11,7697064.909517076,1163735.5866115256,15.1192123269,58
`0056 01111 AL Randolph,379484.9247155294,46425.6136484632,12.2338492585,63,286840.1824355018,39599.4249003664,13.8053966373,53,1754961792.5929835,327922827.8073253,18.6854682074,44,572513552.9851849,93144629.11397196,16.2694190606,50,108516924.19636133,17898522.350438524,16.493761211,48,115116027.46535271,19369963.342644703,16.8264695796,48,56514366.06363012,21805488.310920905,38.5839740047,10,6709203.366199167,1036342.8016105173,15.4465850123,53
`0057 01113 AL Russell,394348.7168616904,47576.0512542897,12.0644620408,66,305914.6551597907,41129.5657545516,13.444784374,56,1341249138.5564227,305196925.3559531,22.7546782013,42,480180232.2660933,84165811.03002419,17.5279624971,53,101398772.67595983,21741319.224285334,21.4414027414,44,112807984.55104741,23068116.600283336,20.4490104952,44,37371187.79168593,13510366.410392756,36.1518249987,15,5702527.033781195,934213.3347667423,16.3824446466,56
`0058 01115 AL St. Clair,443173.5258917303,49771.6143404085,11.2307282436,74,311855.2247261462,40573.5734238054,13.0103875795,58,2225248859.648406,413029916.3120174,18.561066306,51,698954114.24965,109198897.9039357,15.6231855107,57,101357978.89669615,18917510.43942304,18.664056491,50,119036678.768399,20710999.32583458,17.3988383582,50,28011119.099551756,16479616.491742468,58.8324102053,7,8347339.201049249,1253148.5153190936,15.0125505282,58
`0059 01117 AL Shelby,510734.3932993421,53293.5458592092,10.4346890592,85,338282.9446143871,42182.9465244303,12.4697231108,64,2242648105.3126774,396647750.56228346,17.6865799687,54,706301922.678287,104351633.2759766,14.774366305,62,117508274.80211034,22998499.77244144,19.5718129733,59,144186452.83899665,23200043.779627245,16.0903076002,59,58491143.356361374,22424382.175174776,38.33808144,14,8344114.644648383,1173402.0387020488,14.0626308323,64
`0060 01119 AL Sumter,568677.539794354,54651.0542767726,9.6102009403,94,450720.582891217,48074.5969939503,10.6661640978,80,2780285204.659379,488838791.93047976,17.5823254072,64,857309048.607017,118081702.17405969,13.7735280371,77,182193454.75666896,29497433.334967732,16.1901718008,70,192572788.33453536,30852191.902037695,16.0210547756,70,97492056.67814872,28567415.039563723,29.3023001185,25,9989001.079675239,1318199.0565011844,13.196505296,80
`0061 01121 AL Talladega,468438.7364951174,51106.5788021524,10.9099813531,79,310714.9282741878,40221.7868910001,12.9449161372,60,1919873796.9204783,338916371.6745231,17.6530547069,48,582699210.7598605,90931652.46817164,15.6052472337,58,112675517.6760246,22307952.857435733,19.7984028097,54,127625594.49731432,24098169.542544734,18.8819253986,54,53644264.80931524,22181386.263807654,41.3490358059,13,7079021.14219268,1043951.9015602523,14.7471222446,60
